tools (comparison order: row x column),M100-C000_CRA_D,M100-C100_CRA_D,M100-C010_CRA_D,M100-C010-R_CRA_D,M100-C020-R_CRA_D,M100-C030-R_CRA_D,M090-C010-R_CRA_D,M080-C010-R_CRA_D,M100-C020_CRA_D,M100-C040_CRA_D,M100-C060_CRA_D,M100-C040-R_CRA_D,M100-C060-R_CRA_D,M090-C020-R_CRA_D,M080-C020-R_CRA_D
M100-C000_CRA_D P Value,1.0,2.8719471245608474E-11,0.01299948249283811,0.5642147051457861,0.7562013389413471,0.35933426453934403,0.01299948249283811,2.2339876316612717E-6,0.004745424960048039,8.016964159196505E-8,6.236874461329478E-9,0.0836699869171248,1.4493138277149598E-4,0.11032859366162107,0.0013355914259268742
M100-C000_CRA_D Cohen D,0.0,Large,Medium,Small,0.06605474224597734,Small,Medium,Large,Medium,Large,Large,Small,Large,Small,Large
M100-C000_CRA_D Cliff's delta,0.0,1.0,0.37333333333333335,-0.08666666666666667,-0.04666666666666667,-0.13777777777777778,-0.37333333333333335,0.7111111111111111,0.42444444444444446,0.8066666666666666,0.8733333333333333,0.26,0.5711111111111111,-0.24,0.4822222222222222
M100-C100_CRA_D P Value,2.8719471245608474E-11,1.0,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11
M100-C100_CRA_D Cohen D,Large,NaN,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large
M100-C100_CRA_D Cliff's delta,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
M100-C010_CRA_D P Value,0.01299948249283811,2.8719471245608474E-11,1.0,0.0037585319247780413,0.006819141224204683,0.001722657028659258,2.2042356552454123E-5,0.0081350632350079,0.9410723491398268,1.947930947522325E-4,2.3541591284148566E-5,0.13155161121418224,0.3147327134935657,2.458568754521995E-4,0.18332122622250846
M100-C010_CRA_D Cohen D,Medium,Large,0.0,Large,Medium,Large,Large,Medium,0.14398268001716188,Large,Large,Medium,0.062195523673284674,Large,Small
M100-C010_CRA_D Cliff's delta,-0.37333333333333335,1.0,0.0,-0.43555555555555553,-0.4066666666666667,-0.4711111111111111,-0.6377777777777778,0.3977777777777778,-0.011111111111111112,0.56,0.6355555555555555,-0.22666666666666666,0.1511111111111111,-0.5511111111111111,0.2
M100-C010-R_CRA_D P Value,0.5642147051457861,2.8719471245608474E-11,0.0037585319247780413,1.0,0.5945602565439675,0.882465683286275,0.16016393690179054,1.3347593319501527E-6,0.0016378388653489617,5.3080990491949365E-8,5.84056913943698E-10,0.04757860204719877,2.5137538333774856E-5,0.38305504584585626,2.1893128820726915E-4
M100-C010-R_CRA_D Cohen D,Small,Large,Large,0.0,0.18873825356610327,0.018316556981756046,Small,Large,Large,Large,Large,Medium,Large,Small,Large
M100-C010-R_CRA_D Cliff's delta,0.08666666666666667,1.0,0.43555555555555553,0.0,0.08,-0.022222222222222223,-0.2111111111111111,0.7266666666666667,0.47333333333333333,0.8177777777777778,0.9311111111111111,0.29777777777777775,0.6333333333333333,-0.13111111111111112,0.5555555555555556
M100-C020-R_CRA_D P Value,0.7562013389413471,2.8719471245608474E-11,0.006819141224204683,0.5945602565439675,1.0,0.5642147051457861,0.011958983568951531,1.5479926480654882E-6,0.0013355914259268742,4.8848156963821054E-8,7.043621241820119E-10,0.04281950731769768,5.433591494663492E-5,0.14737285954906465,4.1013072581952414E-4
M100-C020-R_CRA_D Cohen D,0.06605474224597734,Large,Medium,0.18873825356610327,0.0,0.1778507750150791,Medium,Large,Large,Large,Large,Small,Large,Small,Large
M100-C020-R_CRA_D Cliff's delta,0.04666666666666667,1.0,0.4066666666666667,-0.08,0.0,-0.08666666666666667,-0.37777777777777777,0.7222222222222222,0.4822222222222222,0.82,0.9266666666666666,0.30444444444444446,0.6066666666666667,-0.21777777777777776,0.5311111111111111
M100-C030-R_CRA_D P Value,0.35933426453934403,2.8719471245608474E-11,0.001722657028659258,0.882465683286275,0.5642147051457861,1.0,0.05843684682842065,2.894412287623993E-7,2.065312047568879E-4,1.2555706918604415E-8,5.84056913943698E-10,0.00412842501613131,6.067192022563006E-6,0.3750436235586131,1.210693825894893E-4
M100-C030-R_CRA_D Cohen D,Small,Large,Large,0.018316556981756046,0.1778507750150791,0.0,Small,Large,Large,Large,Large,Medium,Large,Small,Large
M100-C030-R_CRA_D Cliff's delta,0.13777777777777778,1.0,0.4711111111111111,0.022222222222222223,0.08666666666666667,0.0,-0.28444444444444444,0.7711111111111111,0.5577777777777778,0.8555555555555555,0.9311111111111111,0.4311111111111111,0.68,-0.13333333333333333,0.5777777777777777
M090-C010-R_CRA_D P Value,0.01299948249283811,2.8719471245608474E-11,2.2042356552454123E-5,0.16016393690179054,0.011958983568951531,0.05843684682842065,1.0,1.1107275288413376E-7,5.657027307703899E-6,3.6574283601709112E-9,3.643171320177885E-10,1.5382425641186082E-4,3.956103395985622E-7,0.48713803171001935,1.7937766481068707E-6
M090-C010-R_CRA_D Cohen D,Medium,Large,Large,Small,Medium,Small,0.0,Large,Large,Large,Large,Large,Large,0.16750504548444417,Large
M090-C010-R_CRA_D Cliff's delta,0.37333333333333335,1.0,0.6377777777777778,0.2111111111111111,0.37777777777777777,0.28444444444444444,0.0,0.7977777777777778,0.6822222222222222,0.8866666666666667,0.9422222222222222,0.5688888888888889,0.7622222222222222,0.10444444444444445,0.7177777777777777
M080-C010-R_CRA_D P Value,2.2339876316612717E-6,2.8719471245608474E-11,0.0081350632350079,1.3347593319501527E-6,1.5479926480654882E-6,2.894412287623993E-7,1.1107275288413376E-7,1.0,0.0010855630297854635,0.18823652537740343,0.13928936568684847,9.845310003364638E-6,0.024625161703710985,1.7998679369135573E-7,0.28711193012328706
M080-C010-R_CRA_D Cohen D,Large,Large,Medium,Large,Large,Large,Large,0.0,Medium,Small,Small,Large,Medium,Large,Small
M080-C010-R_CRA_D Cliff's delta,-0.7111111111111111,1.0,-0.3977777777777778,-0.7266666666666667,-0.7222222222222222,-0.7711111111111111,-0.7977777777777778,0.0,-0.4911111111111111,0.19777777777777777,0.2222222222222222,-0.6644444444444444,-0.3377777777777778,-0.7844444444444445,-0.16
M100-C020_CRA_D P Value,0.004745424960048039,2.8719471245608474E-11,0.9410723491398268,0.0016378388653489617,0.0013355914259268742,2.065312047568879E-4,5.657027307703899E-6,0.0010855630297854635,1.0,2.3541591284148566E-5,5.388954837926008E-7,0.09190670046585758,0.1558101616108517,1.5382425641186082E-4,0.16016393690179054
M100-C020_CRA_D Cohen D,Medium,Large,0.14398268001716188,Large,Large,Large,Large,Medium,0.0,Large,Large,Medium,Small,Large,Medium
M100-C020_CRA_D Cliff's delta,-0.42444444444444446,1.0,0.011111111111111112,-0.47333333333333333,-0.4822222222222222,-0.5577777777777778,-0.6822222222222222,0.4911111111111111,0.0,0.6355555555555555,0.7533333333333333,-0.25333333333333335,0.21333333333333335,-0.5688888888888889,0.2111111111111111
M100-C040_CRA_D P Value,8.016964159196505E-8,2.8719471245608474E-11,1.947930947522325E-4,5.3080990491949365E-8,4.8848156963821054E-8,1.2555706918604415E-8,3.6574283601709112E-9,0.18823652537740343,2.3541591284148566E-5,1.0,0.8360239504893114,1.533667571829156E-7,2.92125950333455E-4,7.4385870796334075E-9,0.03205359011068276
M100-C040_CRA_D Cohen D,Large,Large,Large,Large,Large,Large,Large,Small,Large,0.0,0.0450619570281791,Large,Large,Large,Medium
M100-C040_CRA_D Cliff's delta,-0.8066666666666666,1.0,-0.56,-0.8177777777777778,-0.82,-0.8555555555555555,-0.8866666666666667,-0.19777777777777777,-0.6355555555555555,0.0,-0.03111111111111111,-0.7888888888888889,-0.5444444444444444,-0.8688888888888889,-0.32222222222222224
M100-C060_CRA_D P Value,6.236874461329478E-9,2.8719471245608474E-11,2.3541591284148566E-5,5.84056913943698E-10,7.043621241820119E-10,5.84056913943698E-10,3.643171320177885E-10,0.13928936568684847,5.388954837926008E-7,0.8360239504893114,1.0,2.737665649732435E-10,4.266554432197367E-6,1.1207914596411683E-9,0.014710444453394755
M100-C060_CRA_D Cohen D,Large,Large,Large,Large,Large,Large,Large,Small,Large,0.0450619570281791,0.0,Large,Large,Large,Medium
M100-C060_CRA_D Cliff's delta,-0.8733333333333333,1.0,-0.6355555555555555,-0.9311111111111111,-0.9266666666666666,-0.9311111111111111,-0.9422222222222222,-0.2222222222222222,-0.7533333333333333,0.03111111111111111,0.0,-0.9488888888888889,-0.6911111111111111,-0.9155555555555556,-0.36666666666666664
M100-C040-R_CRA_D P Value,0.0836699869171248,2.8719471245608474E-11,0.13155161121418224,0.04757860204719877,0.04281950731769768,0.00412842501613131,1.5382425641186082E-4,9.845310003364638E-6,0.09190670046585758,1.533667571829156E-7,2.737665649732435E-10,1.0,0.001811497976108134,0.00412842501613131,0.014710444453394755
M100-C040-R_CRA_D Cohen D,Small,Large,Medium,Medium,Small,Medium,Large,Large,Medium,Large,Large,0.0,Large,Large,Large
M100-C040-R_CRA_D Cliff's delta,-0.26,1.0,0.22666666666666666,-0.29777777777777775,-0.30444444444444446,-0.4311111111111111,-0.5688888888888889,0.6644444444444444,0.25333333333333335,0.7888888888888889,0.9488888888888889,0.0,0.4688888888888889,-0.4311111111111111,0.36666666666666664
M100-C060-R_CRA_D P Value,1.4493138277149598E-4,2.8719471245608474E-11,0.3147327134935657,2.5137538333774856E-5,5.433591494663492E-5,6.067192022563006E-6,3.956103395985622E-7,0.024625161703710985,0.1558101616108517,2.92125950333455E-4,4.266554432197367E-6,0.001811497976108134,1.0,4.266554432197367E-6,0.43328979562188996
M100-C060-R_CRA_D Cohen D,Large,Large,0.062195523673284674,Large,Large,Large,Large,Medium,Small,Large,Large,Large,0.0,Large,Small
M100-C060-R_CRA_D Cliff's delta,-0.5711111111111111,1.0,-0.1511111111111111,-0.6333333333333333,-0.6066666666666667,-0.68,-0.7622222222222222,0.3377777777777778,-0.21333333333333335,0.5444444444444444,0.6911111111111111,-0.4688888888888889,0.0,-0.6911111111111111,0.11777777777777777
M090-C020-R_CRA_D P Value,0.11032859366162107,2.8719471245608474E-11,2.458568754521995E-4,0.38305504584585626,0.14737285954906465,0.3750436235586131,0.48713803171001935,1.7998679369135573E-7,1.5382425641186082E-4,7.4385870796334075E-9,1.1207914596411683E-9,0.00412842501613131,4.266554432197367E-6,1.0,3.056599868356269E-5
M090-C020-R_CRA_D Cohen D,Small,Large,Large,Small,Small,Small,0.16750504548444417,Large,Large,Large,Large,Large,Large,0.0,Large
M090-C020-R_CRA_D Cliff's delta,0.24,1.0,0.5511111111111111,0.13111111111111112,0.21777777777777776,0.13333333333333333,-0.10444444444444445,0.7844444444444445,0.5688888888888889,0.8688888888888889,0.9155555555555556,0.4311111111111111,0.6911111111111111,0.0,0.6266666666666667
M080-C020-R_CRA_D P Value,0.0013355914259268742,2.8719471245608474E-11,0.18332122622250846,2.1893128820726915E-4,4.1013072581952414E-4,1.210693825894893E-4,1.7937766481068707E-6,0.28711193012328706,0.16016393690179054,0.03205359011068276,0.014710444453394755,0.014710444453394755,0.43328979562188996,3.056599868356269E-5,1.0
M080-C020-R_CRA_D Cohen D,Large,Large,Small,Large,Large,Large,Large,Small,Medium,Medium,Medium,Large,Small,Large,0.0
M080-C020-R_CRA_D Cliff's delta,-0.4822222222222222,1.0,-0.2,-0.5555555555555556,-0.5311111111111111,-0.5777777777777777,-0.7177777777777777,0.16,-0.2111111111111111,0.32222222222222224,0.36666666666666664,-0.36666666666666664,-0.11777777777777777,-0.6266666666666667,0.0
