tools (comparison order: row x column),M100-C000_CRA_A,M100-C100_CRA_A,M100-C010_CRA_A,M100-C010-R_CRA_A,M100-C020-R_CRA_A,M100-C030-R_CRA_A,M090-C010-R_CRA_A,M080-C010-R_CRA_A
M100-C000_CRA_A P Value,1.0,2.5832395987857026E-6,0.344044940644476,0.2804704772772293,0.173777038979135,0.5058591780795983,2.2846227620831883E-7,3.2137350447492E-8
M100-C000_CRA_A Cohen D,0.0,Large,Small,Small,Medium,Medium,Large,Large
M100-C000_CRA_A Cliff's delta,0.0,0.7066666666666667,0.14222222222222222,-0.1622222222222222,-0.20444444444444446,-0.1,0.7777777777777778,0.8311111111111111
M100-C100_CRA_A P Value,2.5832395987857026E-6,1.0,4.788501677455148E-5,1.1107275288413376E-7,2.103121132801533E-8,1.0241093895135833E-7,0.06459465037331802,0.9646228051136888
M100-C100_CRA_A Cohen D,Large,0.0,Large,Large,Large,Large,Medium,Small
M100-C100_CRA_A Cliff's delta,-0.7066666666666667,0.0,-0.6111111111111112,-0.7977777777777778,-0.8422222222222222,-0.8,-0.2777777777777778,0.006666666666666667
M100-C010_CRA_A P Value,0.344044940644476,4.788501677455148E-5,1.0,0.04841349946481377,0.02192954756883536,0.08909163442771983,4.788501677455148E-5,2.7769585786430184E-6
M100-C010_CRA_A Cohen D,Small,Large,0.0,Medium,Medium,Medium,Medium,Medium
M100-C010_CRA_A Cliff's delta,-0.14222222222222222,0.6111111111111112,0.0,-0.2966666666666667,-0.34444444444444444,-0.25555555555555554,0.6111111111111112,0.7044444444444444
M100-C010-R_CRA_A P Value,0.2804704772772293,1.1107275288413376E-7,0.04841349946481377,1.0,0.8072749507289148,0.6843225867624496,3.3436436952527515E-9,1.1207914596411683E-9
M100-C010-R_CRA_A Cohen D,Small,Large,Medium,0.0,Small,Small,Large,Large
M100-C010-R_CRA_A Cliff's delta,0.1622222222222222,0.7977777777777778,0.2966666666666667,0.0,-0.03666666666666667,0.06111111111111111,0.8888888888888888,0.9155555555555556
M100-C020-R_CRA_A P Value,0.173777038979135,2.103121132801533E-8,0.02192954756883536,0.8072749507289148,1.0,0.5058591780795983,2.8719471245608474E-11,2.8719471245608474E-11
M100-C020-R_CRA_A Cohen D,Medium,Large,Medium,Small,0.0,0.10214567908701452,Large,Large
M100-C020-R_CRA_A Cliff's delta,0.20444444444444446,0.8422222222222222,0.34444444444444444,0.03666666666666667,0.0,0.1,1.0,1.0
M100-C030-R_CRA_A P Value,0.5058591780795983,1.0241093895135833E-7,0.08909163442771983,0.6843225867624496,0.5058591780795983,1.0,2.8719471245608474E-11,2.8719471245608474E-11
M100-C030-R_CRA_A Cohen D,Medium,Large,Medium,Small,0.10214567908701452,0.0,Large,Large
M100-C030-R_CRA_A Cliff's delta,0.1,0.8,0.25555555555555554,-0.06111111111111111,-0.1,0.0,1.0,1.0
M090-C010-R_CRA_A P Value,2.2846227620831883E-7,0.06459465037331802,4.788501677455148E-5,3.3436436952527515E-9,2.8719471245608474E-11,2.8719471245608474E-11,1.0,0.13928936568684847
M090-C010-R_CRA_A Cohen D,Large,Medium,Medium,Large,Large,Large,0.0,Medium
M090-C010-R_CRA_A Cliff's delta,-0.7777777777777778,0.2777777777777778,-0.6111111111111112,-0.8888888888888888,-1.0,-1.0,0.0,0.2222222222222222
M080-C010-R_CRA_A P Value,3.2137350447492E-8,0.9646228051136888,2.7769585786430184E-6,1.1207914596411683E-9,2.8719471245608474E-11,2.8719471245608474E-11,0.13928936568684847,1.0
M080-C010-R_CRA_A Cohen D,Large,Small,Medium,Large,Large,Large,Medium,0.0
M080-C010-R_CRA_A Cliff's delta,-0.8311111111111111,-0.006666666666666667,-0.7044444444444444,-0.9155555555555556,-1.0,-1.0,-0.2222222222222222,0.0
