tools (comparison order: row x column),M100-C000_CRA_E,M100-C100_CRA_E,M100-C010_CRA_E,M100-C010-R_CRA_E,M100-C020-R_CRA_E,M100-C030-R_CRA_E,M090-C010-R_CRA_E,M080-C010-R_CRA_E
M100-C000_CRA_E P Value,1.0,2.8719471245608474E-11,3.273756255793847E-4,0.173777038979135,0.847587480259332,0.13928936568684847,0.8591839142744377,0.07604147583024301
M100-C000_CRA_E Cohen D,0.0,Large,Large,Small,0.009077797656861272,Small,0.037511423919318845,Small
M100-C000_CRA_E Cliff's delta,0.0,1.0,0.54,-0.20444444444444446,-0.028888888888888888,0.2222222222222222,0.02666666666666667,-0.26666666666666666
M100-C100_CRA_E P Value,2.8719471245608474E-11,1.0,8.1210731472936E-9,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11
M100-C100_CRA_E Cohen D,Large,NaN,Large,Large,Large,Large,Large,Large
M100-C100_CRA_E Cliff's delta,-1.0,0.0,-0.8666666666666667,-1.0,-1.0,-1.0,-1.0,-1.0
M100-C010_CRA_E P Value,3.273756255793847E-4,8.1210731472936E-9,1.0,3.2070402775641327E-6,1.8368404743662747E-4,0.004968934435653605,9.77489496784556E-4,6.067192022563006E-6
M100-C010_CRA_E Cohen D,Large,Large,0.0,Large,Large,Large,Large,Large
M100-C010_CRA_E Cliff's delta,-0.54,0.8666666666666667,0.0,-0.7,-0.5622222222222222,-0.4222222222222222,-0.4955555555555556,-0.68
M100-C010-R_CRA_E P Value,0.173777038979135,2.8719471245608474E-11,3.2070402775641327E-6,1.0,0.21427650986147695,5.715431241255509E-4,0.10707027092382149,0.3007110471483132
M100-C010-R_CRA_E Cohen D,Small,Large,Large,0.0,Small,Large,Small,Small
M100-C010-R_CRA_E Cliff's delta,0.20444444444444446,1.0,0.7,0.0,0.18666666666666668,0.5177777777777778,0.24222222222222223,-0.15555555555555556
M100-C020-R_CRA_E P Value,0.847587480259332,2.8719471245608474E-11,1.8368404743662747E-4,0.21427650986147695,1.0,0.04757860204719877,0.7227197915710599,0.05843684682842065
M100-C020-R_CRA_E Cohen D,0.009077797656861272,Large,Large,Small,0.0,Small,0.0316171325410638,Medium
M100-C020-R_CRA_E Cliff's delta,0.028888888888888888,1.0,0.5622222222222222,-0.18666666666666668,0.0,0.29777777777777775,0.05333333333333334,-0.28444444444444444
M100-C030-R_CRA_E P Value,0.13928936568684847,2.8719471245608474E-11,0.004968934435653605,5.715431241255509E-4,0.04757860204719877,1.0,0.18332122622250846,8.339303300103351E-4
M100-C030-R_CRA_E Cohen D,Small,Large,Large,Large,Small,0.0,Small,Large
M100-C030-R_CRA_E Cliff's delta,-0.2222222222222222,1.0,0.4222222222222222,-0.5177777777777778,-0.29777777777777775,0.0,-0.2,-0.5022222222222222
M090-C010-R_CRA_E P Value,0.8591839142744377,2.8719471245608474E-11,9.77489496784556E-4,0.10707027092382149,0.7227197915710599,0.18332122622250846,1.0,0.04926066741360391
M090-C010-R_CRA_E Cohen D,0.037511423919318845,Large,Large,Small,0.0316171325410638,Small,0.0,Small
M090-C010-R_CRA_E Cliff's delta,-0.02666666666666667,1.0,0.4955555555555556,-0.24222222222222223,-0.05333333333333334,0.2,0.0,-0.29555555555555557
M080-C010-R_CRA_E P Value,0.07604147583024301,2.8719471245608474E-11,6.067192022563006E-6,0.3007110471483132,0.05843684682842065,8.339303300103351E-4,0.04926066741360391,1.0
M080-C010-R_CRA_E Cohen D,Small,Large,Large,Small,Medium,Large,Small,0.0
M080-C010-R_CRA_E Cliff's delta,0.26666666666666666,1.0,0.68,0.15555555555555556,0.28444444444444444,0.5022222222222222,0.29555555555555557,0.0
