algoVariants,problemModels,iterationsMean,iterationsMeanTime,hvMean,hvMedian,hvMax,hvMin,hvStdDev
M100-C000,CRA_A,125,"0,028","0,924","0,935","0,935","0,854","0,028"
M100-C100,CRA_A,207,"0,173","0,846","0,854","0,935","0,697","0,076"
M100-C010,CRA_A,124,"0,048","0,915","0,935","0,935","0,854","0,034"
M100-C010-R,CRA_A,119,"0,055","0,929","0,935","0,935","0,854","0,020"
M100-C020-R,CRA_A,120,"0,185","0,934","0,935","0,935","0,912","0,004"
M100-C030-R,CRA_A,127,"0,205","0,933","0,935","0,935","0,927","0,003"
M090-C010-R,CRA_A,123,"0,155","0,890","0,911","0,912","0,777","0,048"
M080-C010-R,CRA_A,124,"0,159","0,774","0,911","0,912","0,241","0,248"
M100-C000,CRA_B,286,"0,031","0,841","0,858","0,912","0,640","0,066"
M100-C100,CRA_B,379,"0,540","0,332","0,350","0,731","0,000","0,165"
M100-C010,CRA_B,271,"0,082","0,838","0,845","0,907","0,737","0,045"
M100-C010-R,CRA_B,316,"0,090","0,871","0,878","0,913","0,791","0,034"
M100-C020-R,CRA_B,269,"0,252","0,883","0,878","0,921","0,829","0,026"
M100-C030-R,CRA_B,277,"0,302","0,879","0,876","0,921","0,817","0,029"
M090-C010-R,CRA_B,197,"0,231","0,603","0,643","0,806","0,162","0,177"
M080-C010-R,CRA_B,192,"0,229","0,586","0,648","0,808","0,162","0,212"
M100-C000,CRA_C,514,"0,077","0,738","0,747","0,815","0,523","0,060"
M100-C100,CRA_C,288,"2,937","0,000","0,000","0,000","0,000","0,000"
M100-C010,CRA_C,523,"0,358","0,743","0,741","0,839","0,655","0,047"
M100-C010-R,CRA_C,516,"0,370","0,759","0,765","0,815","0,677","0,035"
M100-C020-R,CRA_C,521,"0,764","0,770","0,772","0,826","0,704","0,032"
M100-C030-R,CRA_C,563,"1,062","0,779","0,771","0,834","0,702","0,033"
M090-C010-R,CRA_C,434,"0,500","0,506","0,507","0,777","0,021","0,182"
M080-C010-R,CRA_C,454,"0,480","0,538","0,570","0,712","0,021","0,149"
M100-C000,CRA_D,713,"0,457","0,574","0,579","0,645","0,466","0,043"
M100-C100,CRA_D,293,"23,014","0,000","0,000","0,000","0,000","0,000"
M100-C010,CRA_D,817,"2,707","0,538","0,552","0,611","0,360","0,059"
M100-C010-R,CRA_D,865,"2,773","0,584","0,571","0,666","0,503","0,043"
M100-C020-R,CRA_D,914,"5,354","0,576","0,583","0,651","0,483","0,036"
M100-C030-R,CRA_D,956,"7,103","0,583","0,584","0,672","0,468","0,040"
M090-C010-R,CRA_D,972,"3,341","0,601","0,609","0,676","0,497","0,044"
M080-C010-R,CRA_D,1103,"2,965","0,483","0,499","0,653","0,046","0,106"
M100-C000,CRA_E,961,"2,895","0,596","0,586","0,674","0,517","0,044"
M100-C100,CRA_E,338,"126,838","0,000","0,000","0,000","0,000","0,000"
M100-C010,CRA_E,1020,"15,239","0,455","0,546","0,669","0,000","0,213"
M100-C010-R,CRA_E,1136,"16,231","0,609","0,605","0,676","0,561","0,030"
M100-C020-R,CRA_E,1158,"28,178","0,595","0,595","0,665","0,492","0,038"
M100-C030-R,CRA_E,1196,"38,837","0,579","0,573","0,635","0,526","0,029"
M090-C010-R,CRA_E,1004,"16,887","0,594","0,588","0,713","0,490","0,048"
M080-C010-R,CRA_E,1112,"16,840","0,618","0,624","0,692","0,522","0,049"
